Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Arab World,ARB,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.001365713,0.002031462,0.002738223,0.004482418,0.011357055,0.017304158,0.019692052,0.028618736,0.038708844,0.055814617,0.042453423,0.055267326,0.071276089,0.196889107,0.354150861,0.608882663,0.93141683,1.484755021,3.166079883,5.721773184,8.484355071,11.53270585,16.80990993,26.90843487,39.02488198,52.63239868,62.98854116,76.02668377,87.80708648,
Caribbean small states,CSS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03479519,0.097820199,0.230867556,0.405761138,0.627279588,1.088605853,1.366529488,1.721020867,2.241644514,4.087095855,11.15778339,18.77691383,31.38447247,43.11901027,55.4634362,65.38655207,83.30008722,95.24091818,104.4305525,112.054745,120.6474564,
East Asia & Pacific (all income levels),EAS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.000838917,0.001231621,0.001665059,0.002672003,0.004202863,0.007522988,0.013040873,0.024013183,0.050683591,0.090394861,0.14869864,0.216949116,0.318499339,0.587261357,1.268569648,2.512408274,3.774657703,5.35463041,7.896200311,11.48944817,15.93359847,20.11679235,24.91869504,29.83598266,34.35131016,39.81509974,48.45361726,57.64850905,65.37030947,76.67914767,
East Asia & Pacific (developing only),EAP,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.000120644,0.000139161,0.001078824,0.00198742,0.003678724,0.006468039,0.011609209,0.022129832,0.043718582,0.093195518,0.186304676,0.389744082,0.682909977,1.134199077,1.754590777,3.019790838,5.776878321,9.850366014,13.81455038,18.67475001,23.80027067,28.43528836,34.14147776,43.00324554,52.97068551,61.1715732,73.30524484,
Euro area,EMU,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.007928908,0.009510797,0.0113653,0.016206607,0.021104862,0.034462943,0.056226196,0.091670399,0.157740759,0.258332558,0.447989923,0.731325348,1.060136864,1.637290316,2.556787772,4.189484396,7.299646382,12.73953025,22.20509516,38.23203685,59.90656773,72.29564085,76.84304363,82.63901514,88.97240778,97.55370893,105.4466002,115.3995748,120.5618564,120.6062875,122.386083,
Europe & Central Asia (all income levels),ECS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.002994432,0.006373396,0.009995966,0.015529077,0.023923638,0.041859622,0.068773295,0.116396321,0.192022995,0.301445587,0.415244838,0.56536842,0.745453648,1.103830378,1.796461979,2.850159739,4.486618935,7.198751638,12.29148238,21.34519889,34.13902358,42.02540268,47.68350725,55.15344665,66.3513999,81.21026088,94.78652895,106.5085715,115.6982758,120.9236659,123.9995601,
Europe & Central Asia (developing only),ECA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,9.90223E-05,0.001370009,0.002618754,0.004114996,0.008333216,0.012545434,0.017838156,0.026397011,0.06032698,0.160248819,0.318804711,0.724744475,1.508751047,3.295586628,6.613829797,10.2502931,15.52767698,23.84219826,40.18733463,61.83183556,81.27826403,95.79497916,109.7239839,119.967281,124.3276837,
European Union,EUU,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.00511008,0.010544781,0.014770101,0.022238983,0.034115906,0.06064555,0.100453714,0.174364061,0.294004399,0.473495476,0.653817549,0.896717394,1.191134753,1.789766487,2.923269366,4.597221804,7.250876099,11.60353112,19.84868068,34.14973171,53.81811867,65.05828825,71.17425349,78.14548601,86.18147421,95.92438088,105.0486209,115.0674387,120.7938773,121.9067475,123.5454711,
Heavily indebted poor countries (HIPC),HPC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65936E-05,0.00084035,0.001805424,0.004046115,0.010009122,0.026157066,0.063954704,0.140656748,0.27633695,0.586341671,1.056188579,1.664505676,2.732739292,4.228017189,6.354604442,10.78732038,16.81195848,25.00638151,31.2872248,37.50643423,
High income,HIC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.002618705,0.00943467,0.014953757,0.023102915,0.038448361,0.08858426,0.154722881,0.267978323,0.45059805,0.758463781,1.110688752,1.579130162,2.193940866,3.128419454,4.915072809,7.758931235,12.09865242,17.07346682,24.48832262,35.82873611,49.88833552,58.74216472,64.25291315,70.20043635,76.75442282,83.91568817,91.47481595,99.76213543,104.4702747,107.7642924,110.5132173,
High income: nonOECD,NOC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.005462638,0.008206679,0.014322809,0.029368111,,0.144811049,0.227922226,0.468000305,0.585379966,0.978155694,1.430303281,1.938198485,2.586816883,3.823584507,5.631654663,8.818148343,16.1502314,28.94221547,44.16195993,54.47621406,64.15753426,71.55233578,74.17210036,83.31708274,95.4529723,112.8480981,126.0862454,140.5758571,150.9142599,
High income: OECD,OEC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.00274113,0.010044525,0.015590114,0.024179519,0.039723145,0.091692157,0.158129418,0.273971402,0.462237838,0.773706503,1.148088743,1.622027793,2.247372875,3.212828703,5.081253287,8.051096407,12.58216925,17.69707207,25.1228167,36.35747888,50.33126581,59.07589563,64.26045389,70.09247047,76.96358458,83.96484114,91.14222168,98.64447451,102.5837261,104.8463078,106.8637204,
Latin America & Caribbean (all income levels),LCN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.000953006,0.002864152,0.007255725,0.028388951,0.066213592,0.141520976,0.244028987,0.476721677,0.81619238,1.358681898,2.565239728,4.207773557,7.826140296,12.25841256,16.05997408,18.993145,23.30645802,31.84703836,43.32193871,54.5075444,67.22018343,80.02668075,89.07124234,98.39207965,
Latin America & Caribbean (developing only),LAC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797821,0.004596152,0.023638011,0.058709994,0.128696822,0.224749741,0.443035361,0.761405431,1.301536942,2.509750311,4.124482721,7.731682999,12.08805094,15.83879695,18.78168212,23.11130026,31.63415457,43.14315085,54.3027255,67.0892599,79.9613445,89.05767218,98.42019495,
Least developed countries: UN classification,LDC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455274,0.002596916,0.00507597,0.008967717,0.015753691,0.029517745,0.064569318,0.118848888,0.265063019,0.531313839,0.998415113,1.681508186,2.824916471,4.982568698,9.116763279,15.05858397,21.64830241,26.78361955,33.63027239,
Low & middle income,LMY,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,4.57929E-05,5.2351E-05,0.000416368,0.000945459,0.001783592,0.003461601,0.007891061,0.016026433,0.03219226,0.062527972,0.129828283,0.25399643,0.447430505,0.810380977,1.311898028,2.358199467,4.2463786,6.641323454,9.114409704,12.59683427,17.48753496,23.94941232,31.91978604,40.86038206,51.08897797,60.44956095,71.82856475,
Low income,LIC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000315784,0.001581314,0.003475464,0.007186483,0.012559248,0.024968081,0.057029637,0.121094096,0.260316213,0.545053847,0.971376865,1.579809615,2.56685686,4.591967817,8.59879528,14.27336129,20.71531425,25.78335852,33.13209513,
Lower middle income,LMC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.000112993,0.000128011,0.000279364,0.000542908,0.000715109,0.000994336,0.001482176,0.004252854,0.006757697,0.012436524,0.021044009,0.054356459,0.118895002,0.210659872,0.293654247,0.550120292,1.168922069,2.124143559,3.290368948,5.402244951,8.536648685,13.48855896,22.13172843,31.80148059,44.03673255,55.68554955,71.73427192,
Middle East & North Africa (all income levels),MEA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.001277149,0.001893904,0.002544213,0.004138363,0.010449278,0.015919587,0.018064608,0.026197564,0.04100316,0.060177721,0.05333621,0.07581482,0.118945177,0.346564287,0.711518166,1.212141633,1.703657518,2.470398619,4.604644491,7.594340339,10.33374299,13.39064943,18.58721054,28.745593,41.16020262,56.81117679,68.80480334,82.53823848,96.9772804,
Middle East & North Africa (developing only),MNA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.001410644,0.00166222,0.002274614,0.003445301,0.005886765,0.007570053,0.011290661,0.017859734,0.080530151,0.141382809,0.325985847,0.483714,0.844808019,2.202831257,4.371244364,5.989296723,8.344101326,12.92412366,22.19367542,33.97004899,48.1804586,59.15477177,71.76029872,86.05098759,
Middle income,MIC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,5.1614E-05,5.91006E-05,0.000470195,0.001068534,0.002017471,0.003918992,0.008939235,0.018175526,0.036183366,0.070219234,0.145904801,0.288342127,0.508519692,0.921832541,1.491539241,2.681554801,4.827685962,7.539152029,10.32575694,14.2517643,19.73112674,26.88808025,35.44825455,45.00265542,55.86512884,65.9520187,78.03566559,
North America,NAC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,,,,0.03501762,0.133453445,0.278469214,0.49442938,0.837186526,1.405564331,2.11476478,2.963731687,4.230630854,6.005899442,8.896817518,12.30386883,15.89580411,19.66183519,24.35555047,30.02922069,37.7700338,44.02292672,48.17490282,54.0530173,61.52982018,67.32985441,75.04361084,80.67812055,83.99721411,87.55930821,88.2068827,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.002394377,0.008368338,0.012953061,0.019818496,0.033892176,0.078270727,0.136552808,0.236562777,0.398626206,0.666974351,0.994969327,1.41179516,1.962047475,2.793666079,4.409086224,6.970956139,10.8830077,15.34744015,21.96931147,32.33539031,45.43151834,53.84053025,58.90179334,64.55081004,71.67796589,79.02467317,86.50907741,94.46025634,98.68837425,100.92834,103.2845494,
Other small states,OSS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018400343,0.020396277,0.027076302,0.044426064,0.069470835,0.154846651,0.291271539,0.548169535,0.927290754,2.001018481,4.849731189,7.464044278,10.31129286,12.94815464,19.57333963,25.44932151,33.05822693,44.14196991,58.24520575,65.2663383,75.83358115,
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089178563,0.172175738,0.264595221,0.398427348,0.577889714,1.465641116,3.10448935,4.392060023,5.281924167,5.810438499,7.70077697,10.83105758,14.7279327,25.73387358,31.19860057,42.50186115,56.61163584,
Small states,SST,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021023873,0.040953265,0.083677422,0.144133322,0.226943608,0.42349036,0.597895189,0.869298077,1.268752729,2.539282875,6.452581461,10.3204509,15.63905941,19.97850377,27.26965,33.7664498,43.42808647,54.6204325,66.41254341,73.98555471,84.39002597,
South Asia,SAS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000262399,0.000878692,0.001369364,0.002551772,0.004405662,0.013475458,0.036301846,0.087614021,0.121818835,0.186716329,0.329814528,0.598059255,1.161055537,2.666497282,4.223065153,7.707307694,14.87352417,22.20660583,31.72769392,43.89046042,58.81099332,
Sub-Saharan Africa (all income levels),SSF,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797576,0.001536609,0.001821951,0.003468405,0.011486882,0.070539122,0.102667385,0.180077267,0.339739839,0.611318348,0.995022918,1.716378728,2.492359929,3.582174676,4.969376279,7.414152568,12.0510132,17.80978954,23.28291996,32.11194075,37.82012646,44.93159767,
Sub-Saharan Africa (developing only),SSA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000798156,0.00153773,0.001823288,0.00347117,0.01149612,0.070596324,0.102744965,0.180204124,0.339952425,0.611742787,0.995702748,1.7169688,2.49212418,3.580442089,4.967555844,7.411667602,12.0478553,17.80866255,23.28291076,32.11596518,37.8270457,44.92166262,
Upper middle income,UMC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.000633566,0.001520981,0.003145005,0.006466998,0.015464864,0.030428601,0.062318361,0.121967178,0.258607206,0.500909577,0.865163483,1.576710675,2.604413312,4.677092279,8.284068145,12.69656045,17.08408311,22.83004721,30.63991906,40.06076412,48.65410873,58.20927808,67.80133823,76.4014988,84.49350286,
World,WLD,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.000531044,0.001488979,0.002333763,0.003390445,0.006869562,0.015900358,0.029609284,0.051015666,0.085190573,0.142282949,0.212058815,0.303128193,0.428346422,0.620384422,0.993871716,1.591781343,2.50846459,3.667608678,5.351060106,8.150031722,12.08754668,15.5379084,18.47768333,22.32530786,27.44321961,33.97387065,41.84542792,50.61833001,59.89922802,68.22355147,78.15610588,
Afghanistan,AFG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910232,0.707821315,2.064079602,4.012711975,8.195869376,14.76202268,24.2911387,35.88696104,37.80718336,
Albania,ALB,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073893279,0.10673042,0.181875047,0.358248786,0.969804574,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,98.73608984,130.3468857,141.8972543,
Algeria,DZA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001857768,0.018437704,0.01800213,0.017596677,0.004857468,0.016580899,0.040643551,0.059501588,0.060659788,0.239210526,0.281654835,0.322765829,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012327,78.51588828,93.64711494,92.42180275,
American Samoa,ASM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1.409925878,1.771618669,2.31280717,2.362100569,2.411829094,2.553160448,2.690824289,3.176451903,3.456832972,3.67711016,3.411128051,3.455425017,3.63659873,,,,,,,
Andorra,AND,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332940952,1.285643646,1.242255708,4.366373514,8.413693716,13.27786765,21.97335243,32.19504571,36.42510134,44.32745895,47.49214258,71.87097489,77.51952399,82.88824979,86.39106593,78.02309866,77.74804122,77.14067187,77.17642345,
Angola,AGO,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009673093,0.015532711,0.016472389,0.026484163,0.055127184,0.074743507,0.17762548,0.185303094,0.521258883,0.940198411,2.269787897,4.6373295,9.770852982,17.95740315,28.31059686,37.55055726,43.70450412,46.68902631,
Antigua and Barbuda,ATG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.845280341,1.935787174,2.021835827,11.18641837,28.33007108,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,190.875,
Argentina,ARG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007145704,0.036761955,0.075543355,0.13890867,0.329585912,0.700640714,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,141.7895675,
Armenia,ARM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009457204,0.159497977,0.251873452,0.264056708,0.568447429,0.831884559,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,46.83206418,71.03776071,125.0114489,
Aruba,ABW,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02928858,,,2.138864335,3.611455537,3.994786346,6.196229284,13.5682142,16.61663214,57.38228511,65.33045795,72.20851613,99.33667185,102.3971246,106.1522135,108.9815303,114.4798438,120.0615315,122.037037,
Australia,AUS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.027195199,0.191275208,0.562190741,1.083749875,1.686293682,2.84081166,3.905586687,6.832819938,12.40593183,21.79018077,24.7232273,26.28400406,33.366797,44.70317966,57.34301757,64.47377795,72.11214653,81.87843437,90.31713966,95.46862242,100.8897853,102.8908994,101.1311197,100.9013857,
